id,lon,lat,IDENT,OVEN,INBU,GRSP
67,-90.67558534000,43.95951480000,B705,0.00000000000,3.42000000000,0.00000000000
68,-90.66687645000,43.95683267000,B707,0.00000000000,0.33000000000,0.17000000000
69,-90.66574766000,43.95987933000,B708,0.00000000000,1.31000000000,0.67000000000
70,-90.66864319000,43.96193348000,B710,0.00000000000,0.00000000000,7.94000000000
71,-90.66614815000,43.96361941000,B711,0.00000000000,0.00000000000,8.19000000000
72,-90.66316067000,43.96195536000,B712,0.00000000000,0.00000000000,8.53000000000
73,-90.66175436000,43.95931866000,B713,0.00000000000,0.89000000000,0.67000000000
74,-90.64317620000,43.96783233000,B502,0.00000000000,3.03000000000,0.00000000000
75,-90.64769682000,43.96782889000,B503,0.00000000000,0.00000000000,6.86000000000
76,-90.64916574000,43.97116874000,B504,0.00000000000,0.00000000000,0.33000000000
